policy,comparison,subset,locality,rows,model_error,reference_error,gain_percent,model_p95,model_p99,reference_p95
cv_targets__stop,matched_random,all,eu-locality-008,157961,18.002022188153745,18.002022188153745,0.0,63.85471877568163,131.20549207047296,63.85471877568163
cv_targets__stop,matched_random,all,eu-locality-020,1225,6.464799639736198,6.464799639736198,0.0,20.950455289077674,42.958840384020256,20.950455289077674
cv_targets__stop,matched_random,all,eu-locality-048,8058,26.55502487729235,26.55502487729235,0.0,89.49939807482255,160.11545465691114,89.49939807482255
cv_targets__stop,matched_random,all,eu-locality-067,6903,28.836124907482446,28.836124907482446,0.0,92.96468374261876,168.56927310186109,92.96468374261876
cv_targets__stop,matched_random,all,eu-locality-074,102348,19.485817874848017,19.485817874848017,0.0,64.32327120369061,132.49073574295682,64.32327120369061
cv_targets__stop,matched_random,all,eu-locality-082,1368,13.535905172172901,13.535905172172901,0.0,52.30649963956743,101.91283477915022,52.30649963956743
cv_targets__stop,matched_random,all,eu-locality-112,5004,24.353891752992524,24.353891752992524,0.0,86.2710070848162,186.18759729912014,86.2710070848162
cv_targets__stop,matched_random,all,eu-locality-126,5790,19.625273473396696,19.625273473396696,0.0,86.5533275336093,157.09863889864567,86.5533275336093
cv_targets__stop,matched_random,easy,eu-locality-008,39889,1.6470742658302941,1.6470742658302941,0.0,3.051907770623909,3.343230622057371,3.051907770623909
cv_targets__stop,matched_random,easy,eu-locality-020,593,1.2453262707753026,1.2453262707753026,0.0,3.040626325338701,3.3899938472394897,3.040626325338701
cv_targets__stop,matched_random,easy,eu-locality-048,1582,1.636293516441814,1.636293516441814,0.0,3.0743694701381585,3.380921428523672,3.0743694701381585
cv_targets__stop,matched_random,easy,eu-locality-067,1219,1.590617674418319,1.590617674418319,0.0,3.0935997711687357,3.3448505278100407,3.0935997711687357
cv_targets__stop,matched_random,easy,eu-locality-074,17048,1.9046603342006048,1.9046603342006048,0.0,3.222870721546701,3.534804668858814,3.222870721546701
cv_targets__stop,matched_random,easy,eu-locality-082,513,1.5462004828417095,1.5462004828417095,0.0,2.97384013935923,3.3963414460134995,2.97384013935923
cv_targets__stop,matched_random,easy,eu-locality-112,571,1.9853536795903686,1.9853536795903686,0.0,3.1756828589252075,3.380427508819609,3.1756828589252075
cv_targets__stop,matched_random,easy,eu-locality-126,2160,1.3654600121595328,1.3654600121595328,0.0,2.942624617246482,3.2666607746245173,2.942624617246482
cv_targets__stop,matched_random,hard,eu-locality-008,28100,60.57015543773536,60.57015543773536,0.0,138.37729324495885,231.14803055134072,138.37729324495885
cv_targets__stop,matched_random,hard,eu-locality-020,30,43.951869033620255,43.951869033620255,0.0,64.72063289570352,69.65016417684733,64.72063289570352
cv_targets__stop,matched_random,hard,eu-locality-048,2478,63.81610989740674,63.81610989740674,0.0,138.97729297348553,219.8528418739297,138.97729297348553
cv_targets__stop,matched_random,hard,eu-locality-067,2296,64.87130335601644,64.87130335601644,0.0,143.40335944857748,213.5382101003649,143.40335944857748
cv_targets__stop,matched_random,hard,eu-locality-074,19310,59.889111842955,59.889111842955,0.0,136.04231560184755,237.87669095023648,136.04231560184755
cv_targets__stop,matched_random,hard,eu-locality-082,184,55.57409669773812,55.57409669773812,0.0,116.0311931849977,199.45076524670506,116.0311931849977
cv_targets__stop,matched_random,hard,eu-locality-112,1153,69.76508397868075,69.76508397868075,0.0,174.675987810338,312.16727648534334,174.675987810338
cv_targets__stop,matched_random,hard,eu-locality-126,1110,73.83078926777138,73.83078926777138,0.0,160.69598223874476,237.31079754913677,160.69598223874476
cv_targets__stop,matched_random,complete,eu-locality-008,97352,16.340200813632368,16.340200813632368,0.0,59.00785104941188,120.13555903630997,59.00785104941188
cv_targets__stop,matched_random,complete,eu-locality-020,364,6.793268278663608,6.793268278663608,0.0,22.682718227503177,49.70629992513765,22.682718227503177
cv_targets__stop,matched_random,complete,eu-locality-048,4716,26.545693599399414,26.545693599399414,0.0,91.22372192206632,161.22338275660073,91.22372192206632
cv_targets__stop,matched_random,complete,eu-locality-067,3417,30.03405180707917,30.03405180707917,0.0,92.43888499604662,166.36606324874677,92.43888499604662
cv_targets__stop,matched_random,complete,eu-locality-074,67309,19.2305927384159,19.2305927384159,0.0,63.280916107037605,130.89806348161562,63.280916107037605
cv_targets__stop,matched_random,complete,eu-locality-082,582,10.349560779812299,10.349560779812299,0.0,48.19172118275565,88.77064559267427,48.19172118275565
cv_targets__stop,matched_random,complete,eu-locality-112,2417,20.699608163744394,20.699608163744394,0.0,70.00895081757096,171.1830006493205,70.00895081757096
cv_targets__stop,matched_random,complete,eu-locality-126,3637,19.31193188490947,19.31193188490947,0.0,85.5211371225543,163.85887416785963,85.5211371225543
cv_targets__stop_risk,ADE_vs_floor,all,eu-locality-008,157961,18.002022188153745,18.041144590837536,0.21685100125886647,63.85471877568163,131.20549207047296,63.85471877568163
cv_targets__stop_risk,ADE_vs_floor,all,eu-locality-020,1225,6.464799639736198,6.514432089833121,0.7618845267323038,20.950455289077674,42.958840384020256,20.950455289077674
cv_targets__stop_risk,ADE_vs_floor,all,eu-locality-048,8058,26.55502487729235,26.568426516120656,0.05044197412358287,89.49939807482255,160.11545465691114,89.49939807482255
cv_targets__stop_risk,ADE_vs_floor,all,eu-locality-067,6903,28.836124907482446,28.87697837044287,0.1414741613071202,92.96468374261876,168.56927310186109,92.96468374261876
cv_targets__stop_risk,ADE_vs_floor,all,eu-locality-074,102348,19.485817874848017,19.540144919218633,0.27802784777293255,64.32327120369061,132.49073574295682,64.46142956732993
cv_targets__stop_risk,ADE_vs_floor,all,eu-locality-082,1368,13.535905172172901,13.564534585131002,0.21106078338642975,52.30649963956743,101.91283477915022,52.30649963956743
cv_targets__stop_risk,ADE_vs_floor,all,eu-locality-112,5004,24.353891752992524,24.377253499056568,0.0958342007845503,86.2710070848162,186.18759729912014,86.2710070848162
cv_targets__stop_risk,ADE_vs_floor,all,eu-locality-126,5790,19.625273473396696,19.645962498046178,0.10530929523834276,86.5533275336093,157.09863889864567,86.5533275336093
cv_targets__stop_risk,ADE_vs_floor,easy,eu-locality-008,39889,1.6470742658302941,1.7124634754637011,3.818429448003313,3.051907770623909,3.343230622057371,3.0954122497682435
cv_targets__stop_risk,ADE_vs_floor,easy,eu-locality-020,593,1.2453262707753026,1.2667120183194382,1.6882880429687885,3.040626325338701,3.3899938472394897,3.0442506244225767
cv_targets__stop_risk,ADE_vs_floor,easy,eu-locality-048,1582,1.636293516441814,1.6796162978639069,2.579326092345602,3.0743694701381585,3.380921428523672,3.080321842954575
cv_targets__stop_risk,ADE_vs_floor,easy,eu-locality-067,1219,1.590617674418319,1.6058934268181635,0.9512307694110933,3.0935997711687357,3.3448505278100407,3.1204027321405072
cv_targets__stop_risk,ADE_vs_floor,easy,eu-locality-074,17048,1.9046603342006048,1.9698182133276747,3.3078117912716754,3.222870721546701,3.534804668858814,3.248088316777988
cv_targets__stop_risk,ADE_vs_floor,easy,eu-locality-082,513,1.5462004828417095,1.5717224694033087,1.6238227205142897,2.97384013935923,3.3963414460134995,2.9910454520185303
cv_targets__stop_risk,ADE_vs_floor,easy,eu-locality-112,571,1.9853536795903686,2.011879820091856,1.3184753998017884,3.1756828589252075,3.380427508819609,3.1756828589252075
cv_targets__stop_risk,ADE_vs_floor,easy,eu-locality-126,2160,1.3654600121595328,1.4103792615006157,3.1849056893597294,2.942624617246482,3.2666607746245173,2.9648916649582264
cv_targets__stop_risk,ADE_vs_floor,hard,eu-locality-008,28100,60.57015543773536,60.57267643715081,0.004161941594360563,138.37729324495885,231.14803055134072,138.38282192988999
cv_targets__stop_risk,ADE_vs_floor,hard,eu-locality-020,30,43.951869033620255,43.951869033620255,0.0,64.72063289570352,69.65016417684733,64.72063289570352
cv_targets__stop_risk,ADE_vs_floor,hard,eu-locality-048,2478,63.81610989740674,63.81613301956246,3.623246133122038e-05,138.97729297348553,219.8528418739297,138.97729297348553
cv_targets__stop_risk,ADE_vs_floor,hard,eu-locality-067,2296,64.87130335601644,64.95146996619232,0.12342539778946726,143.40335944857748,213.5382101003649,143.40335944857748
cv_targets__stop_risk,ADE_vs_floor,hard,eu-locality-074,19310,59.889111842955,60.00555441541746,0.19405298992211106,136.04231560184755,237.87669095023648,136.34580362984687
cv_targets__stop_risk,ADE_vs_floor,hard,eu-locality-082,184,55.57409669773812,55.56439239170911,-0.01746497282035797,116.0311931849977,199.45076524670506,111.15642414153585
cv_targets__stop_risk,ADE_vs_floor,hard,eu-locality-112,1153,69.76508397868075,69.78349615436602,0.02638471372162776,174.675987810338,312.16727648534334,174.675987810338
cv_targets__stop_risk,ADE_vs_floor,hard,eu-locality-126,1110,73.83078926777138,73.83050161725946,-0.00038960931540987787,160.69598223874476,237.31079754913677,160.69598223874476
cv_targets__stop_risk,ADE_vs_floor,complete,eu-locality-008,97352,16.340200813632368,16.389412229840747,0.30026345983767966,59.00785104941188,120.13555903630997,59.01678952634717
cv_targets__stop_risk,ADE_vs_floor,complete,eu-locality-020,364,6.793268278663608,6.891806752673657,1.4297915995949984,22.682718227503177,49.70629992513765,22.682718227503177
cv_targets__stop_risk,ADE_vs_floor,complete,eu-locality-048,4716,26.545693599399414,26.563160393487802,0.0657557076403803,91.22372192206632,161.22338275660073,91.22372192206632
cv_targets__stop_risk,ADE_vs_floor,complete,eu-locality-067,3417,30.03405180707917,30.057452024112813,0.0778516323169054,92.43888499604662,166.36606324874677,92.43888499604662
cv_targets__stop_risk,ADE_vs_floor,complete,eu-locality-074,67309,19.2305927384159,19.28822811110901,0.29881113164518247,63.280916107037605,130.89806348161562,63.36155246962371
cv_targets__stop_risk,ADE_vs_floor,complete,eu-locality-082,582,10.349560779812299,10.401712665936916,0.5013778768894639,48.19172118275565,88.77064559267427,48.19172118275565
cv_targets__stop_risk,ADE_vs_floor,complete,eu-locality-112,2417,20.699608163744394,20.722018417039262,0.10814705808986913,70.00895081757096,171.1830006493205,70.00895081757096
cv_targets__stop_risk,ADE_vs_floor,complete,eu-locality-126,3637,19.31193188490947,19.334572553522406,0.11709940082855752,85.5211371225543,163.85887416785963,85.5211371225543
cv_targets__stop_risk,ADE_vs_original,all,eu-locality-008,157961,18.002022188153745,18.002029503738996,4.063755838501493e-05,63.85471877568163,131.20549207047296,63.85471877568163
cv_targets__stop_risk,ADE_vs_original,all,eu-locality-020,1225,6.464799639736198,6.464799639736198,0.0,20.950455289077674,42.958840384020256,20.950455289077674
cv_targets__stop_risk,ADE_vs_original,all,eu-locality-048,8058,26.55502487729235,26.55502487729235,0.0,89.49939807482255,160.11545465691114,89.49939807482255
cv_targets__stop_risk,ADE_vs_original,all,eu-locality-067,6903,28.836124907482446,28.836124907482446,0.0,92.96468374261876,168.56927310186109,92.96468374261876
cv_targets__stop_risk,ADE_vs_original,all,eu-locality-074,102348,19.485817874848017,19.485817874848017,0.0,64.32327120369061,132.49073574295682,64.32327120369061
cv_targets__stop_risk,ADE_vs_original,all,eu-locality-082,1368,13.535905172172901,13.535905172172901,0.0,52.30649963956743,101.91283477915022,52.30649963956743
cv_targets__stop_risk,ADE_vs_original,all,eu-locality-112,5004,24.353891752992524,24.353891752992524,0.0,86.2710070848162,186.18759729912014,86.2710070848162
cv_targets__stop_risk,ADE_vs_original,all,eu-locality-126,5790,19.625273473396696,19.625273473396696,0.0,86.5533275336093,157.09863889864567,86.5533275336093
cv_targets__stop_risk,ADE_vs_original,easy,eu-locality-008,39889,1.6470742658302941,1.647094835632699,0.0012488535547472424,3.051907770623909,3.343230622057371,3.051907770623909
cv_targets__stop_risk,ADE_vs_original,easy,eu-locality-020,593,1.2453262707753026,1.2453262707753026,0.0,3.040626325338701,3.3899938472394897,3.040626325338701
cv_targets__stop_risk,ADE_vs_original,easy,eu-locality-048,1582,1.636293516441814,1.636293516441814,0.0,3.0743694701381585,3.380921428523672,3.0743694701381585
cv_targets__stop_risk,ADE_vs_original,easy,eu-locality-067,1219,1.590617674418319,1.590617674418319,0.0,3.0935997711687357,3.3448505278100407,3.0935997711687357
cv_targets__stop_risk,ADE_vs_original,easy,eu-locality-074,17048,1.9046603342006048,1.9046603342006048,0.0,3.222870721546701,3.534804668858814,3.222870721546701
cv_targets__stop_risk,ADE_vs_original,easy,eu-locality-082,513,1.5462004828417095,1.5462004828417095,0.0,2.97384013935923,3.3963414460134995,2.97384013935923
cv_targets__stop_risk,ADE_vs_original,easy,eu-locality-112,571,1.9853536795903686,1.9853536795903686,0.0,3.1756828589252075,3.380427508819609,3.1756828589252075
cv_targets__stop_risk,ADE_vs_original,easy,eu-locality-126,2160,1.3654600121595328,1.3654600121595328,0.0,2.942624617246482,3.2666607746245173,2.942624617246482
cv_targets__stop_risk,ADE_vs_original,hard,eu-locality-008,28100,60.57015543773536,60.570188122543264,5.396187285899856e-05,138.37729324495885,231.14803055134072,138.37729324495885
cv_targets__stop_risk,ADE_vs_original,hard,eu-locality-020,30,43.951869033620255,43.951869033620255,0.0,64.72063289570352,69.65016417684733,64.72063289570352
cv_targets__stop_risk,ADE_vs_original,hard,eu-locality-048,2478,63.81610989740674,63.81610989740674,0.0,138.97729297348553,219.8528418739297,138.97729297348553
cv_targets__stop_risk,ADE_vs_original,hard,eu-locality-067,2296,64.87130335601644,64.87130335601644,0.0,143.40335944857748,213.5382101003649,143.40335944857748
cv_targets__stop_risk,ADE_vs_original,hard,eu-locality-074,19310,59.889111842955,59.889111842955,0.0,136.04231560184755,237.87669095023648,136.04231560184755
cv_targets__stop_risk,ADE_vs_original,hard,eu-locality-082,184,55.57409669773812,55.57409669773812,0.0,116.0311931849977,199.45076524670506,116.0311931849977
cv_targets__stop_risk,ADE_vs_original,hard,eu-locality-112,1153,69.76508397868075,69.76508397868075,0.0,174.675987810338,312.16727648534334,174.675987810338
cv_targets__stop_risk,ADE_vs_original,hard,eu-locality-126,1110,73.83078926777138,73.83078926777138,0.0,160.69598223874476,237.31079754913677,160.69598223874476
cv_targets__stop_risk,FDE_vs_floor,endpoint,eu-locality-008,121088,35.846818897809385,35.96957473477451,0.3412768648789366,136.95807869338222,281.94720140669045,136.94678016915063
cv_targets__stop_risk,FDE_vs_floor,endpoint,eu-locality-020,622,14.481415416580997,14.67889508889477,1.345330633660391,54.18434016797015,102.34943144507893,54.18434016797015
cv_targets__stop_risk,FDE_vs_floor,endpoint,eu-locality-048,5582,58.817962741528966,58.86627761858265,0.0820756450182536,216.55248685578948,355.4563120785641,216.55248685578948
cv_targets__stop_risk,FDE_vs_floor,endpoint,eu-locality-067,4600,64.05844069619435,64.14804098569955,0.13967735900957123,207.16877909819794,394.0447029702928,207.16877909819794
cv_targets__stop_risk,FDE_vs_floor,endpoint,eu-locality-074,81289,40.8841830807245,41.035287783577374,0.36823112743795683,139.51239155444642,285.4242061796492,139.8898647808847
cv_targets__stop_risk,FDE_vs_floor,endpoint,eu-locality-082,859,25.32012116587986,25.471426904331437,0.5940214461477522,115.16354557853296,234.31504208196256,115.16354557853296
cv_targets__stop_risk,FDE_vs_floor,endpoint,eu-locality-112,3719,47.911474249588395,47.968287530342636,0.11843925159575885,180.87314969023402,421.63704764077704,180.87314969023402
cv_targets__stop_risk,FDE_vs_floor,endpoint,eu-locality-126,4579,40.06898387820109,40.13090423960287,0.15429595364232496,186.16986536958748,367.4904107537943,186.14679086195613
cv_targets__stop_risk,ADE_vs_CV,easy,eu-locality-008,39889,1.6470742658302941,1.791172498853141,8.044910979546117,3.051907770623909,3.343230622057371,3.2504176960159774
cv_targets__stop_risk,ADE_vs_CV,easy,eu-locality-020,593,1.2453262707753026,1.2706472215919324,1.9927600978741022,3.040626325338701,3.3899938472394897,3.051349724629029
